"county_name","state_name","x","countyFIPS","per_dem.x","per_gop.x","per_dem.y","per_gop.y","gop_vote_share_change","County Name","State.x","covid_deaths","pop_2019","pop_thousand","deaths_per_thousand","PUBASELINE","PU31102020","PU_change","old_percent","dummy_2016","dummy_old"
"Jefferson County","Kansas",5058,20087,0.304625199362,0.627162311373,0.32418327940716,0.64638346727899,0.0192211559059896,"Jefferson County ","KS",6,19043,19.043,0.315076406028462,3.17,4.91,1.74,0.265609410281993,1,1
"Jefferson County","Kentucky",178270,21111,0.540918084461,0.407502735431,0.590638570826296,0.389639680417144,-0.0178630550138559,"Jefferson County ","KY",367,766757,766.757,0.478639255983317,3.55,4.26,0.71,0.232498692545357,0,0
"Jefferson County","Mississippi",1738,28063,0.864731795802,0.126716766002,0.850677576067502,0.13577090258246,0.00905413658045973,"Jefferson County ","MS",10,6990,6.99,1.43061516452074,10.26,12.32,2.06,0.248640915593705,0,0
"Jefferson County","Missouri",50826,29099,0.297690834112,0.65087903066,0.321566913478678,0.660273549979432,0.00939451931943236,"Jefferson County ","MO",89,225081,225.081,0.395413206801107,2.65,3.06,0.41,0.225812040998574,1,0
"Jefferson County","Montana",3864,30043,0.302218821729,0.627237949503,0.320473690636064,0.652545476742766,0.0253075272397664,"Jefferson County ","MT",0,12221,12.221,0,3.49,3.61,0.12,0.31617707225268,1,1
"Jefferson County","Nebraska",2320,31095,0.242274052478,0.695918367347,0.272386058981233,0.701340482573726,0.00542211522672653,"Jefferson County ","NE",0,7046,7.046,0,2.39,2.73,0.34,0.32926483110985,1,1
"Jefferson County","New York",21499,36045,0.358666783411,0.582173189738,0.394704433497537,0.584496442255063,0.00232325251706289,"Jefferson County ","NY",1,109834,109.834,0.00910464883369448,5.14,6.52,1.38,0.195740845275598,1,0
"Jefferson County","Ohio",19640,39081,0.302526638168,0.65935047534,0.300281757688388,0.684251543672442,0.0249010683324417,"Jefferson County ","OH",4,65325,65.325,0.0612323000382702,5.55,6.01,0.46,0.300650593187907,1,1
"Jefferson County","Oklahoma",1734,40067,0.155650319829,0.81236673774,0.133752620545073,0.849475890985325,0.0371091532453249,"Jefferson County ","OK",0,6002,6.002,0,2.59,3.27,0.68,0.288903698767078,1,1
"Jefferson County","Oregon",6593,41031,0.325895875592,0.601419878296,0.368756820280366,0.603458406782507,0.00203852848650654,"Jefferson County ","OR",10,24658,24.658,0.405547895206424,5.55,6.46,0.91,0.267377727309595,1,1
"Jefferson County","Pennsylvania",12795,42065,0.185273031103,0.783407902539,0.198343848580442,0.786890991938311,0.00348308939931063,"Jefferson County ","PA",4,43425,43.425,0.0921128382268279,3.23,5.44,2.21,0.294645941278066,1,1
"Jefferson County","Tennessee",15189,47089,0.18374223439,0.777087501316,0.197069783197832,0.789761178861789,0.0126736775457886,"Jefferson County ","TN",24,54495,54.495,0.440407376823562,2.72,3.85,1.13,0.278722818607212,1,1
"Jefferson County","Texas",53018,48245,0.485377104724,0.490230417911,0.486315033935338,0.502116340683351,0.0118859227723511,"Jefferson County ","TX",155,251565,251.565,0.616142945163278,5.08,6.98,1.9,0.210752688172043,0,0
"Jefferson County","Washington",15711,53031,0.624676616915,0.297810945274,0.693933526944176,0.279565989028719,-0.0182449562452811,"Jefferson County ","WA",0,32221,32.221,0,6.31,7.8,1.49,0.487601253840663,0,1
"Jefferson County","West Virginia",13408,54037,0.393968425876,0.547506977132,0.43775042414179,0.54264881059813,-0.00485816653386983,"Jefferson County ","WV",5,57146,57.146,0.0874951877646729,2.8,2.98,0.18,0.234627095509747,1,0
"Jefferson County","Wisconsin",20969,55055,0.391243738777,0.553090445138,0.414848162737864,0.567081431459597,0.0139909863215969,"Jefferson County ","WI",19,84769,84.769,0.224138541212,2.46,3.37,0.91,0.247366372140759,1,0
"Jefferson Davis County","Mississippi",3406,28065,0.596440596441,0.395382395382,0.579269274102688,0.407854498631901,0.0124721032499009,"Jefferson Davis County ","MS",13,11128,11.128,1.16822429906542,5.32,6.83,1.51,0.30607476635514,0,1
"Jefferson Davis Parish","Louisiana",7283,22053,0.215731596274,0.754710373328,0.216157940839566,0.76969206926757,0.0149816959395697,"Jefferson Davis Parish ","LA",44,31368,31.368,1.40270339199184,3.55,6.12,2.57,0.232179290997195,1,0
"Jefferson Parish","Louisiana",106113,22051,0.405429245595,0.552914194985,0.436048582327224,0.546881532831268,-0.00603266215373233,"Jefferson Parish ","LA",589,432493,432.493,1.36187175283762,3.27,6.31,3.04,0.245351947892798,1,0
"Jenkins County","Georgia",2029,13165,0.365194462755,0.623599208965,0.366425470332851,0.625470332850941,0.00187112388594068,"Jenkins County ","GA",32,8676,8.676,3.68833563854311,4.41,7.24,2.83,0.233863531581374,1,0
"Jennings County","Indiana",6511,18079,0.212685560054,0.739721097616,0.205942372051261,0.774630642396539,0.034909544780539,"Jennings County ","IN",15,27735,27.735,0.540832882639264,3.34,4.77,1.43,0.23475752659095,1,0
"Jerauld County","South Dakota",697,46073,0.273009307135,0.670113753878,0.268389662027833,0.716699801192843,0.0465860473148429,"Jerauld County ","SD",12,2013,2.013,5.96125186289121,2.64,3.15,0.51,0.346249379036264,1,1
"Jerome County","Idaho",4538,16053,0.198462548045,0.688759726259,0.242319508448541,0.73399897593446,0.0452392496754599,"Jerome County ","ID",9,24412,24.412,0.368671145338358,2.33,2.46,0.13,0.185892184171719,1,0
"Jersey County","Illinois",5970,17083,0.245027041892,0.709230910258,0.24757525083612,0.728428093645485,0.019197183387485,"Jersey County ","IL",21,21773,21.773,0.964497313186056,4.79,6.37,1.58,0.27419280760575,1,1
"Jessamine County","Kentucky",11873,21113,0.263781555899,0.664348274086,0.325989345509893,0.650532724505327,-0.0138155495806727,"Jessamine County ","KY",13,54115,54.115,0.240229141642798,3.35,3.76,0.41,0.219403122978841,1,0
"Jewell County","Kansas",1131,20089,0.12137559002,0.811867835469,0.131218905472637,0.85136815920398,0.0395003237349801,"Jewell County ","KS",1,2879,2.879,0.347342827370615,2.92,3.87,0.95,0.392844737756165,1,1
"Jim Hogg County","Texas",1145,48247,0.771590372817,0.202925908447,0.587917485265226,0.409135559921415,0.206209651474415,"Jim Hogg County ","TX",6,5200,5.2,1.15384615384615,4.51,4.86,0.350000000000001,0.220192307692308,0,0
"Jim Wells County","Texas",8658,48249,0.541713915438,0.43827960473,0.447655278367108,0.545248372229132,0.106968767499132,"Jim Wells County ","TX",52,40482,40.482,1.28452151573539,4.02,6.01,1.99,0.213872832369942,0,0
"Jo Daviess County","Illinois",7927,17085,0.398317974412,0.546926724524,0.408883553421369,0.573509403761505,0.0265826792375046,"Jo Daviess County ","IL",9,21235,21.235,0.423828584883447,4.43,6.42,1.99,0.373298799152343,1,1
